Contract_reference,Status,nominal_contract_value,cumulative_amount_paid,State,county,End_date,loan_type,maturity_date,quarter_due
C45160017,Active,10909,7661,5071,5118,2022-02-09,Individual loan,2022-04-10,2
C44340016,Active,4007,3158,5069,5117,2022-02-12,Individual loan,2022-04-13,2
C43450014,Active,8498,6498,5071,5118,2022-02-01,Individual loan,2022-04-02,2
C45090016,Active,7134,5753,5069,5117,2022-02-05,Individual loan,2022-04-06,2
C51760015,Active,11417,7208,5069,5117,2022-02-05,Individual loan,2022-04-06,2
C49940018,Active,3855,2198,5069,5117,2022-02-08,Individual loan,2022-04-09,2
C53890018,Completed,8501,8501,5069,5117,2022-02-08,Individual loan,2022-04-09,2
C55130017,Active,8703,7728,5069,5117,2022-02-13,Individual loan,2022-04-14,2
C77930014,Active,7332,7328,5069,5117,2022-02-14,Individual loan,2022-04-15,2
C57100018,Active,6922,4908,5071,5118,2022-02-07,Individual loan,2022-04-08,2
C46760013,Active,9422,8528,5069,5117,2022-02-12,Individual loan,2022-04-13,2
C41540014,Active,6046.43,3355.43,5071,5118,2022-01-26,Individual loan,2022-03-27,1
C42500017,Active,5844,4286,5071,5118,2022-01-30,Individual loan,2022-03-31,1
C45230018,Active,3857,3031,5071,5118,2022-02-02,Individual loan,2022-04-03,2
C43100015,Active,9568.82,9037.82,5069,5117,2022-02-02,Individual loan,2022-04-03,2
C45880010,Active,10262,10258,5069,5117,2022-02-02,Individual loan,2022-04-03,2
C46430013,Active,10401,5588,5069,5117,2022-02-02,Individual loan,2022-04-03,2
C46630018,Active,8852.96,8752.96,5071,5118,2022-02-02,Individual loan,2022-04-03,2
C43120013,Active,10162,10158,5069,5117,2022-02-03,Individual loan,2022-04-04,2
C41870015,Active,5678,3135,5071,5118,2022-02-03,Individual loan,2022-04-04,2
C48460018,Active,10315,5598,5069,5117,2022-02-03,Individual loan,2022-04-04,2
C37840014,Active,119,61,5071,5118,2022-02-04,Individual loan,2022-04-05,2
C51350015,Active,3639,3181,5071,5118,2022-02-05,Individual loan,2022-04-06,2
C46690012,Active,10521.96,10086.96,5071,5118,2022-02-05,Individual loan,2022-04-06,2
C42800011,Active,10162,10158,5069,5117,2022-02-05,Individual loan,2022-04-06,2
C45960010,Active,9573,7283,5071,5118,2022-02-05,Individual loan,2022-04-06,2
C46840013,Completed,9765.96,9765.96,5071,5118,2022-02-05,Individual loan,2022-04-06,2
C42710012,Active,10262,10258,5069,5117,2022-02-05,Individual loan,2022-04-06,2
C48560015,Active,8084,5588,5069,5117,2022-02-05,Individual loan,2022-04-06,2
C53310017,Active,10283,5528,5069,5117,2022-02-06,Individual loan,2022-04-07,2
C44460012,Active,10162,10158,5069,5117,2022-02-06,Individual loan,2022-04-07,2
C44910016,Active,9642.12,5748.12,5069,5117,2022-02-07,Individual loan,2022-04-08,2
C56390016,Active,4098.24,2827.24,5071,5118,2022-02-07,Individual loan,2022-04-08,2
C51020014,Active,9245,7588,5069,5117,2022-02-07,Individual loan,2022-04-08,2
C44510014,Active,5753,3118,5069,5117,2022-02-07,Individual loan,2022-04-08,2
C51460012,Active,10162,10158,5069,5117,2022-02-07,Individual loan,2022-04-08,2
C43670017,Active,9036,5738,5069,5117,2022-02-08,Individual loan,2022-04-09,2
C51420016,Active,8579,6978,5069,5117,2022-02-08,Individual loan,2022-04-09,2
C47390018,Active,8939,5977,5071,5118,2022-02-08,Individual loan,2022-04-09,2
C42610014,Active,7736,5798,5069,5117,2022-02-09,Individual loan,2022-04-10,2
C45050010,Active,3865.12,2218.12,5069,5117,2022-02-09,Individual loan,2022-04-10,2
C53830014,Active,5342,4358,5069,5117,2022-02-09,Individual loan,2022-04-10,2
C51740017,Active,10162,10158,5069,5117,2022-02-09,Individual loan,2022-04-10,2
C44770014,Active,9155,4978,5069,5117,2022-02-09,Individual loan,2022-04-10,2
